日期,开始时间,结束时间,耗时（h）,机台,事件类型,事件描述,Root cause ,解决方法,更换配件,维修费用（元）,当前状态,设备处理人,工艺处理人,备注
2023-01-02,20:00:00,22:00:00,,ICP,PM,掉片,RF Time到PM时间,开腔手动取出后PM,/,/,Close,夏小冰,夏小冰,"RF Time=21.03hrs Backside He flow=5.18sccm
Leak test=0.79 mTorr/Min"
2023-01-05,23:30:00,23:40:00,,RS55,Trouble shooting,Stage无法Up/Down,,重启设备,/,/,Close,夏小冰,/,
2023-01-05,23:40:00,01:50:00,,ICP,PM,掉片,"Wafer背面脏污







",开腔手动取出后PM,/,/,Close,夏小冰,夏小冰,"RF Time=8.57hrs Backside He flow=5.07sccm
Leak test=0.63 mTorr/Min"
2023-01-10,08:15:00,08:30:00,,Asher,Trouble shooting,手臂在传回Run完的Wafer进Cassette时卡死,Wafer位置偏移，导致无法顺利传回cassette,手动复位手臂并取出wafer后Home手臂,/,/,Close,夏小冰,/,
2023-01-11,06:00:00,06:10:00,,Release,Trouble shooting,酒精液位偏低,酒精消耗到达周期,更换酒精,/,/,Close,王玉亮,王玉亮,
2023-02-04,09:00:00,10:30:00,,ICP,Trouble shooting,PM1掉片,"Wafer异常导致Backside He flow高







",开腔手动取出后PM,/,/,Close,夏小冰,夏小冰,"RF Time=1.3hrs Backside He flow=5.19sccm
Leak test=0.63 mTorr/Min"
2023-02-04,18:00:00,19:50:00,,ICP,Trouble shooting,PM1掉片,腔内环境异常,开腔手动取出后PM,/,/,Close,夏小冰,,"RF Time=3.93hrs Backside He flow=5.13sccm
Leak test= mTorr/Min"
2023-02-08,14:20:00,15:00:00,,PVD,Trouble shooting,HSE reading状态报警：coil RF generntor Over temp,电源控制程序异常,检查风扇，重启bias RF ，ICP RF,/,/,Close,陈杨,陈杨,
2023-02-11,1900-01-20 20:00:00,"12日
9：00",,echo,Trouble shooting,手臂卡死，wafer在stage无法传出,软件异常,开腔手动取出重启软件后恢复,/,/,Close,陈扬/吴雨萌,陈扬/吴雨萌,
2023-02-11,1900-01-10 10:00:00,1900-01-20 20:00:00,,E-Gun,PM,冷泵再生异常，中断，无法进行,CDA压力低,增加CDA流量开大阀门,/,/,Close,陈扬/毛锐/吴雨萌,陈扬/吴雨萌,后期可在机台内部表头查看CDA压力
2023-02-19,08:30:00,08:40:00,,Asher,Trouble shooting,Could not load cassette:Load port took long to finish action,通讯异常,重启设备,/,/,Close,夏小冰,/,
2023-02-20,23:50:00,11:00:00,,AFM,Trouble shooting,量测异常，数据不准,重启软件后模式选错,更换量测模式，更换探针，校准机台,探针,/,Close,陈杨/聂敦韦,/,后期会编写SOP
2023-02-23,16：30,17：30,,ICP,Trouble shooting,软件闪退，导致BL mapping信号中断,,,,,Close,,,
2023-02-24,7：30,"25日
01:10",,PECVD,工艺开发,U%超标，map为中间薄边缘厚,,季保,,,Close,毛锐/陈杨,沈启航,PM后monitor数据OK
2023-02-25,01:30:00,,,PECVD,Trouble shooting,AL 扫码枪异常，无反应,,,,,Close,,,
2023-02-28,07:30:00,07:40:00,00:10:00,Lift-off,Trouble shooting,run货时温度异常,循环时温度会低于65度。,alarm消除后恢复，重新match设备 跑货温度。,,,Close,陈梦尧/夏玉柱,,
2023-02-27,7;30,"28日
14：00",,WET,Trouble shooting,手臂卡死,手臂轴承损坏,跟换，重新校准,轴承,已买备件,Close,夏玉柱,,
2023-03-01,20:00:00,21:00:00,01:00:00,打标机,Trouble shooting,手臂卡死,操作失误,重启软件使用软件手臂初始化,/,/,Close,陈杨,,
2023-03-02,20：00,"2023/3/3
10：00",1900-01-12 00:00:00,台阶仪,Trouble shooting,载台轴承（X轴）卡死,,"临时处置：手动拨动马达重启；
厂商建议：初步怀疑马达看，先持续观察，待故障频率高后检查，容易确认故障原因。厂商有demo机有可替换马达。",,,Close,聂敦伟,,
2023-03-04,16:50:00,17：:00,,台阶仪,Trouble shooting,wafer在aligner卡住，报警“puck lost vacuum”,,点击retry后动作，可正常测量,,,Close,沈启航,,
2023-03-04,17:20:00,,,台阶仪,Trouble shooting,量测完取wafer时报“Motion error:radial axis”,,initialize handler,,,Close,夏小冰,,
2023-03-04,02:00:00,02:10:00,,WET,Trouble shooting,alarm:LD# CST data error,cassette 使用时间太长，导致透光，侦测异常,"手动从LD口取出cassette,消除alarm,删除排程记录，重新自动扫码run ok.  ",,,Close,张林,,
2023-03-05,00:49:00,00:55:00,,WET,Trouble shooting,去胶机台alarm:Pusher2-1 CST data is error,侦测异常,初始化ok,,,Close,夏玉柱,,cassette 使用时长，透光有变。同一sensor down机多会更换
2023-03-06,23:00:00,,,E-Gun,PM,冷泵再生异常，中断，无法进行,CDA压力低,断电重启后再生恢复,,,Close,毛锐,,
2023-03-08,00:10:00,00:40:00,,ICP,Trouble shooting,报警Aligner could not align wafer:Error during calculation,,打开TM并用无尘布清洁,,,Close,夏小冰,,
2023-03-08,,11:00:00,0.5,Lift-off,Trouble shooting,Run货中操作面板上对应wafer显示消失，wafer在tank内未取出,未发现异常，后期继续观察跟踪。怀疑信号问题,手动拿走wafer，重新HOME 整机。OK.,,,Close,夏玉柱,,
2023-03-08,,16:00:00,3,Release,Trouble shooting,HF废气处理控制器漏气,气管型号错误,重新返工，所有气管,,,Close,夏玉柱,,
2023-03-07,08:00:00,"2023/3/8
20:00:00",,PVD,PM,PVD Mo chamber PM,靶材使用到达50%,常规PM,,,Close,毛锐/陈杨,聂敦韦,
2023-03-08,10:00:00,,,PVD,PM,PVD Al Chamber Target更换,靶材使用完,常规PM,,,Close,毛锐/陈杨,聂敦韦,
2023-03-10,,,,WET,Trouble shooting,Unload报警:bar low voltage abnormal,,,,,Close,夏玉柱,,报警无法消除，run货正常。此alarm 忽略，使用是正常的，不影响跑货。后期alarm多再考虑更换
2023-03-10,,,,Release,PM,无水乙醇补充,,常规PM,,,Close,陈梦尧,,
2023-03-10,,,,WET,Trouble shooting,TANK#10报警：process tank UPW supply flow is out of range,,,,,Close,,,"从停机结束后复机run货开始，几乎每天会出现报警，可以
手动消除，run货正常"
2023-03-09,,,,Particle,Trouble shooting,无法开始run货,service---Module Mode---Equipment status被切换到operator,手动切回Job,,,Close,夏小冰,,
2023-03-12,,,,PVD,Trouble shooting,dry pump底部地面有渗出积液,泵组保养更换时遗留,擦干后观察跟进,,,Close,毛锐,,
2023-03-12,19:15:00,19:20:00,,椭偏仪,Trouble shooting,"椭偏仪报警""wafer are notcorrectly occupied""",椭偏仪mapping时未检知出待测wafer,检查cassette中wafer状态，并重新放置测量,,,Close,沈启航,,
2023-03-12,15:10:00,15:40:00,,ICP,PM,Aligner could not wafer，Error during calculation;,Wafer检测失败,TM开腔，清洁Aligner,,,Close,王玉亮,,
2023-03-14,05:00:00,3.15 11;00,,WET,Trouble shooting,"Tank#11(DRY),Process tank Roller motion is time-out",电磁阀内电路损坏,更换电路板，复机正常,,,Close,夏玉柱,,
2023-03-14,,,,WET,Trouble shooting,SSW设备Unload Pusher2-1 CST data is error,,初始化,,,Close,夏小冰,,
2023-03-15,03:00:00,04:30:00,,ICP,PM,掉片,消除endpoint抓不到的alarm时选择错误致wafer掉片,开腔手动取出后PM,,,Close,陈梦尧,,
2023-03-16,16：:00,,,Trimming,Trouble shooting,Run薄片中破片,,开腔清理碎片,,,Close,张林,,
2023-03-18,09:30:00,11:30:00,,ICP,PM,RF time到PM时间,,常规PM,,,Close,王玉亮/夏小冰,,"RF Time=29hrs Backside He flow=5.3sccm
Leak test= 0.8mTorr/Min"
2023-03-19,17:00:00,18:20:00,,AFM,Trouble shooting,软件卡死重启软件,量测异常,更换量测模式，校准参数,,,Close,陈杨,,
2023-03-19,15；00,16:00:00,,椭偏仪,Trouble shooting,EAP无法自动RUN货机台报警,EAP与机台发生bug,重启软件，EAP网线插拔,,,Close,陈杨,,
2023-03-20,23:30:00,3.21 1:30,,PVD,Trouble shooting,AlN腔run货中Wafer滑出stage,怀疑为dummy wafer本身或偶发性问题。传片测试无异常,开腔手动取出,,,Close,沈启航/夏小冰/陈杨,,
