NO.,发生日期,完成日期,设备编号,设备模组,故障类别,异常描述,原因分析,处理方法/临时对策,预防对策/根本改善,处理状态/进度,对应人,备注说明
1,2022-01-03,2022-01-03,AREL01,PM,Wafer 异常,薄片破片,/,PM. RECOVER TOOL,PM. RECOVER TOOL,已完成,,
2,2022-01-08,2022-01-08,AREL01,PM,真空异常,真空异常,检测 VAT Oring damage,,"1.可以翻面使用暂时复机，等货过后去匹配
2.损坏的Oring 国产替代寻购备库",已完成,,
3,2022-01-15,2022-01-15,AREL01,PM,真空异常,真空异常,VAT Oring损坏,"损坏的VAT Oring 拿去做模板，
两天发回。上机测试正常","1.可以翻面使用暂时复机，等货过后去匹配
2.损坏的Oring 国产替代寻购备库",已完成,,
4,2022-01-18,2022-01-18,AREL01,PM,Wafer 异常,XFR 异常,薄片-跑货造成,薄片 跑货 造成,"PM ,检测机台整机XFR OK. RUN LOT OK.",已完成,,
5,2022-02-11,2022-02-11,ALIF01,TM,软件异常,Arm 通讯异常,通讯问题,重启 armcontroller。增加门的开关,机台重启正常。跑货正常,已完成,,
6,2022-02-16,2022-02-16,ALIF01,TM,部品不良,s/d sensor 异常,光强问题,复归后。调节sensor位置。影响光强。,跑货正常,已完成,,
7,2022-02-12,2022-02-12,AACW01,Other,厂务端异常,排风停止,有机排厂务 切换pump,调节后无法避免厂务切换有机排 pump对排风的影响,跟踪。有切换时及时处理,已完成,,
8,2022-02-18,2022-02-18,AACW01,Other,电路异常,排风 有alarm 闪跳,FFU power supply 影响,现有问题的power suppl 更换到#02位置。调小会增加闪跳几率,现调大电压，暂无异常。后期需要会更换接线,已完成,,
9,2022-02-10,2022-02-10,AREL01,Other,真空异常,pump,pump 显示异常,真空，跑货正常,已有备pump。需要时直接,已完成,,
10,2022-02-16,2022-02-16,AASH01,GAS BOX,厂务端异常,gas flow 异常,跑货时gas 有波动,查各压力表头都正常。最后发现跑货时CDA供气压力偶尔会从60降到30.调大CDA供气量。,暂时用超过量程压力的CDA.后期根据情况调节,已完成,,
11,2022-02-27,2022-02-27,AASH01,TM,真空异常,薄片破片,压力差过大,"PM,测试正常RLS.",破片风险更大，不建议使用,已完成,,
12,2022-02-27,2022-02-27,APVD01,HSE,其它,HSE作业时，Ar流量异常报警,流量计MFC信号异常,"1.手动拔插MFC信号后，持续一段时间也再未发生;
2.5/7号该异常再发，拔插MFC信号线后恢复生产。
3.确认Ar压力，基本锁定MFC和其信号线可能异常。
4.对调Mo 腔体MFC的信号线，并在信号线接头处包裹锡箔纸，待观察。",采购MFC更换,已完成,,
13,2022-02-28,2022-02-28,AREL01,PM,气体异常,HF 压力变化,更换钢瓶,RELEA 调节气压,RELEASE 更换钢瓶后气压稳定,已完成,,
14,2022-02-21,2022-02-21,ASCR01,Other,部品不良,ETC -scrubber ③ plasma voltage 异常（252V）超出范围（160-230之间 ）,阴极为旧品重复利用，击穿后不能充分燃烧废气，且阴极边缘反应物增多，导致电压高,"replace 阳极，并优化阴极点火端，复机后plasma voltage 为192v,恢复正常","日常点检plasma voltage ,定期对阴阳极点火端打磨优化,及时更换 O-ring及耗材",已完成,,
15,2022-03-01,2022-03-01,AICP01,TM,传送异常,Aligner alarm:reported wafer too off center,检查wafer表面有刮伤，导致Aligner侦测异常,更换其它wafer重复验证Aligner正常，同时对Aligner进行校准为正常,,已完成,,
16,2022-03-04,2022-03-04,ATRM01,TM,传送异常,薄片wafer在作业时，在alinger报警：aligner error,载片wafer notch有热解胶膜层残留,"1.检查与确认wafer实际状况后将wafer手动传出；
2.用其它wafer测试经过Aligner的传输OK；
3.unload wafer后检查wafer，发现wafer notch有残胶，检查所有wafer并去掉残胶上机作业OK",,已完成,,
17,2022-03-09,2022-03-09,AICP01,PM3,腔体环境异常,ICP- PM3掉片,"PM3 标准刻蚀ALN,同时run MO-Chemical,导致腔室环境变差，产生掉片",PM3开腔进行PM处理,"1.机台run 货时增加 O₂ clean recipe ,每批 lot clean 10min.
2.M1 chemical Etch每批<18Pcs ,分2次run,每次O₂ clean 5min.
3.机台run完处于IDLE的时候O₂ clean 20min.",已完成,,
18,2022-03-11,2022-03-11,AICP01,Other,水路异常,ICP chiller 水管漏水,ICP PM2 chiller PCW（回）水管漏水，厂务停水因管路使用PV材质相对比较软，回水温度40度左右，停水后温度下降，导致裂开,更换回水管,,已完成,,
19,2022-03-11,2022-03-11,AREL01,Other,真空异常,release etch chamber dry pump 异常,release etch chamber dry pump 排风管路HF液化导致,更换损坏部件,,已完成,,
20,2022-03-11,2022-03-11,AICP01,PM1,传送异常, ICP-PM1 transfer issue-PM1 掉片,wafer 背面比较脏，该批次负责人备注不量测 photo OP未进行ADI check导致掉片,"PM后传送测试OK,机台恢复正常",Process Flow 管控,已完成,,
21,2022-03-14,2022-03-14,APVD01,HSE,操作不当,作业wafer时，HSE的温度闪跳,PM不规范：AlSc腔体PM时，上盖下方的金属网未安装导致RF电磁干扰,"1.检查温度sensor无异常，将温度sensor一拆，温度显示仍闪跳，彻底排除sensor；
2.发现AlSc power加载时，温度开始闪跳，锁定AlSc腔体作业时有射频信号泄露。
3.检查AlSc腔体周围，发现金属网环未安装。",规范PM sop执行规范,已完成,,
22,2022-03-16,2022-03-16,APVD01,HSE,电路异常,产品作业过程中，HSE 报警：Platen RF/ Coil RF paramount serial comms timeout,未知,"1.厂商检查HSE模块各种线路是否存在连接不良，短路以及其它异常，未发现异常。由于检查时机台已经上电，可能无法检测到。
2.之后采购新的空开，并更换。若之后再出现空开跳掉，先不上电，等厂商过来检查原因。",,已完成,聂敦伟,
23,2022-03-16,2022-03-16,APVD01,L/UL,传送异常,wafer从TM传送到VCEA时，感应wafer异常导致触发报警,VCE A前的感应sensor数值显示异常，表示sensor感光可能有偏移,1.检查sensor发现数值不对；重新调整sensor的位置，让感光数值重回正常。,,已完成,,
24,2022-03-17,2022-03-17,AASH01,Power supply,部品不良,UPS 不稳定,UPS 本身能力下降,分步重启，机台端电压稳定后再重启UPS OK.,如有异常，已准备跳过此UPS.,已完成,,
25,2022-03-18,2022-03-18,ALIF01,IPA Supply,调试不良,供液异常,供液端sensor 侦测错误,LIFT 供液端sensor 调节,微调，测试正常,已完成,,
26,2022-03-19,2022-03-19,ASCR01,Other,部品不良,ETC-scrubber②：Inlet pressure high(N2 pressure gauge: -7mm H2O (Range -10mmH2O↓ ),FAC酸排风量小，两台scrubber同一酸排管路，由于处在前端酸排手阀控制量失效，导致另一台供给量减少,更换手阀，由前端酸排来控制,/,已完成,,
